index,term,prof_rating,requirements_met0,requirements_met1,requirements_met2,requirements_met3,title,registered,description,course_id,end_time,faculty,department,credits,start_time,size
23,18WI,4,Quantitative Reasoning,Science with Lab Component,,,"Genes,+Evolution,+and+Development+and+Lab",20,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes.",BIOL+125.57,12:20pm,"Mark  McKone, Stephan G Zweifel, Sarah  Deel",BIOL,6 credits,11:10am,20
24,18WI,4,Quantitative Reasoning,Science with Lab Component,,,"Genes,+Evolution,+and+Development+and+Lab",17,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes.",BIOL+125.59,12:20pm,"Mark  McKone, Stephan G Zweifel, Bridget  Jacques-Fricke",BIOL,6 credits,11:10am,20
25,18WI,4,Science with Lab Component,Quantitative Reasoning,,,Energy+Flow+in+Biological+Systems+and+Lab,20,"Follow the pathways through which energy and matter are acquired, stored, and utilized within cells, organisms, and ecosystems. The focus moves among the different levels of organization from protein function to nutrient movement through ecosystems.",BIOL+126.52,11:00am,"Daniel L Hernández, Rou-Jia  Sung, David  Hougen-Eitzman",BIOL,6 credits,9:50am,20
26,18WI,4,Science with Lab Component,Quantitative Reasoning,,,Energy+Flow+in+Biological+Systems+and+Lab,17,"Follow the pathways through which energy and matter are acquired, stored, and utilized within cells, organisms, and ecosystems. The focus moves among the different levels of organization from protein function to nutrient movement through ecosystems.",BIOL+126.53,11:00am,"Daniel L Hernández, Rou-Jia  Sung, Annie Bosacker",BIOL,6 credits,9:50am,20
27,18WI,4,Science with Lab Component,Quantitative Reasoning,,,Energy+Flow+in+Biological+Systems+and+Lab,19,"Follow the pathways through which energy and matter are acquired, stored, and utilized within cells, organisms, and ecosystems. The focus moves among the different levels of organization from protein function to nutrient movement through ecosystems.",BIOL+126.54,11:00am,"Daniel L Hernández, Rou-Jia  Sung",BIOL,6 credits,9:50am,20
28,18WI,4.4,Quantitative Reasoning,,,,Genetics,25,"A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.",BIOL+240.00,12:20pm,Jennifer M Wolff,BIOL,6 credits,11:10am,24
29,18WI,4.4,,,,,Genetics+Laboratory,19,Biology 125 and 126 or instructor permission and concurrent registration in Biology 240,BIOL+241.01,5:00pm,Jennifer M Wolff,BIOL,2 credits,1:00pm,20
30,18WI,4,Quantitative Reasoning,,,,Behavioral+Ecology,35,"Behavioral ecologists strive to understand the complex ways that ecological pressures influence the evolution of behavioral strategies. It can be argued that animals face a relatively small set of basic challenges: they must acquire food, water, and mates, and they must avoid danger. Yet we see a rich diversity of solutions to these problems. Consider foraging behavior, for example. All animals must acquire energy, but some filter particles out of sea water, others graze on nearly inedible grasses, while still others hunt in cooperative packs. In this course we will consider such topics as foraging, communication, sociality, and conflict. By focusing on the functions and evolutionary histories of behaviors, we strive to better understand the puzzle of behavioral diversity.",BIOL+248.00,1:40pm,Annie Bosacker,BIOL,6 credits,12:30pm,30
31,18WI,4.8,Quantitative Reasoning,,,,Immunology,31,"This course will examine the role of the immune system in defense, allergic reactions, and autoimmunity. Topics to be covered include the structure and function of antibodies, cytokines, the role of the major histocompatibility complex in antigen presentation, cellular immunity, immunodeficiencies, and current techniques used to study immune responses.",BIOL+310.00,11:00am,Debby R Walser-Kuntz,BIOL,6 credits,9:50am,30
32,18WI,4.17,Quantitative Reasoning,,,,Human+Physiology,49,"Human Physiology seeks to understand the fundamental mechanisms responsible for the diverse functions of the body. Course topics include the function and regulation of the various physiological systems (nervous, circulatory, endocrine, excretory, respiratory, digestive, etc.), biochemistry, cellular physiology, homeostasis and acid-base chemistry. The study of human physiology provides the principal groundwork for internal medicine, pharmacology, and other related health fields. The laboratory includes a variety of experiments focusing on the function and regulation of the human body.",BIOL+332.00,12:20pm,Fernán  Jaramillo,BIOL,6 credits,11:10am,48
33,18WI,4.17,,,,,Human+Physiology+Laboratory,19,Concurrent registration in Biology 332; Biology 125 and 126,BIOL+333.01,5:00pm,Fernán  Jaramillo,BIOL,2 credits,1:00pm,18
34,18WI,4.17,,,,,Human+Physiology+Laboratory,17,Concurrent registration in Biology 332; Biology 125 and 126,BIOL+333.02,12:00pm,Fernán  Jaramillo,BIOL,2 credits,8:00am,18
35,18WI,,,,,,Human+Physiology+Laboratory,13,Concurrent registration in Biology 332; Biology 125 and 126,BIOL+333.03,6:00pm,Bridget  Jacques-Fricke,BIOL,2 credits,2:00pm,13
36,18WI,4,,,,,Seminar:+Conservation+Biology,13,"Human activity has fundamentally altered the biosphere, resulting in the development of novel ecosystems and driving a global rate of species extinction not seen for millions of years. The field of Conservation Biology aims to understand and address the impact of human activity on ecological systems. In this seminar, we will use contemporary primary literature in Conservation Biology to examine the causes and consequences of species extinctions, as well as to assess efforts to conserve species and communities.",BIOL+366.00,11:55am,"Daniel L Hernández, Mark  McKone",BIOL,6 credits,10:10am,0
37,18WI,,Quantitative Reasoning,,,,Seminar:+Developmental+Neurobiology,7,"An examination of the cellular and molecular mechanisms underlying development of the nervous system. We will survey recent studies of a variety of model organisms to explore key steps in neuronal development including neural induction, patterning, specification of neuronal identity, axonal guidance, synapse formation, cell death and regeneration.",BIOL+368.00,3:00pm,Brielle M Bjorke,BIOL,6 credits,1:50pm,15
38,18WI,5,Quantitative Reasoning,,,,Seminar:+The+Origin+and+Early+Evolution+of+Life,13,"The Earth formed four and a half billion years ago. Evidence suggests that within 700 million years, life had gained a foothold on this planet. We will delve into the primary literature to explore fundamental questions about the origin and evolution of life: How did life arise from non-life on the dynamic young Earth",BIOL+378.00,11:55am,Rika E Anderson,BIOL,6 credits,10:10am,15
39,18WI,4.4,,,,,Critical+Reading+and+Analysis+of+Primary+Literature,22,Guided instruction in reading and interpretation of contemporary primary literature in Biology.,BIOL+399.00,n/a,Jennifer M Wolff,BIOL,"3 credits, S/CR/NC only",n/a,40
40,18WI,,,,,,Integrative+Exercise,20,"d submission of the written portion of the Integrative Exercise. Continuing course (fall or winter). Oral examination, evaluation of the Integrative Exercise, and participation in visiting speakers seminars (spring).",BIOL+400.00,4:30pm,Staff,BIOL,"2 credits, S/CR/NC only",3:15pm,50
41,18WI,4.4,,,,,Integrative+Exercise,2,"d submission of the written portion of the Integrative Exercise. Continuing course (fall or winter). Oral examination, evaluation of the Integrative Exercise, and participation in visiting speakers seminars (spring).",BIOL+400.02,n/a,Jennifer M Wolff,BIOL,"1 credit, S/CR/NC only",n/a,1
42,18WI,4.4,,,,,Integrative+Exercise,2,"d submission of the written portion of the Integrative Exercise. Continuing course (fall or winter). Oral examination, evaluation of the Integrative Exercise, and participation in visiting speakers seminars (spring).",BIOL+400.03,n/a,Jennifer M Wolff,BIOL,"3 credits, S/CR/NC only",n/a,2
43,18WI,4.86,Science with Lab Component,Quantitative Reasoning,,,Principles+of+Chemistry+I+and+Lab,24,"An introduction to chemistry for students who have taken high school chemistry or Chemistry 122. Topics include the electronic structure of atoms, periodicity, molecular geometry, thermodynamics, bonding, equilibrium, reaction kinetics, and acids and bases. Each offering will also focus on a special topic(s) selected by the instructor. Students cannot receive credit for both Chemistry 123 and 128.",CHEM+123.54,9:40am,Steven M Drew,CHEM,6 credits,8:30am,24
44,18WI,4.86,Science with Lab Component,Quantitative Reasoning,,,Principles+of+Chemistry+I+and+Lab,24,"An introduction to chemistry for students who have taken high school chemistry or Chemistry 122. Topics include the electronic structure of atoms, periodicity, molecular geometry, thermodynamics, bonding, equilibrium, reaction kinetics, and acids and bases. Each offering will also focus on a special topic(s) selected by the instructor. Students cannot receive credit for both Chemistry 123 and 128.",CHEM+123.59,9:40am,Steven M Drew,CHEM,6 credits,8:30am,24
45,18WI,4.5,Science with Lab Component,Quantitative Reasoning,,,Organic+Chemistry+I+&+Lab,14,"Theoretical aspects of carbon chemistry are examined with reference to structure-reactivity relationships, functional groups, stereochemistry, reaction mechanisms and spectroscopy. Laboratory work concentrates on modern techniques of organic chemistry, inquiry-based projects, and spectroscopic analysis. One laboratory per week.",CHEM+233.53,1:40pm,"David G Alberg, Joe Chihade",CHEM,6 credits,12:30pm,20
46,18WI,4.5,Science with Lab Component,Quantitative Reasoning,,,Organic+Chemistry+I+&+Lab,20,"Theoretical aspects of carbon chemistry are examined with reference to structure-reactivity relationships, functional groups, stereochemistry, reaction mechanisms and spectroscopy. Laboratory work concentrates on modern techniques of organic chemistry, inquiry-based projects, and spectroscopic analysis. One laboratory per week.",CHEM+233.54,1:40pm,David G Alberg,CHEM,6 credits,12:30pm,20
47,18WI,4.5,Science with Lab Component,Quantitative Reasoning,,,Organic+Chemistry+I+&+Lab,19,"Theoretical aspects of carbon chemistry are examined with reference to structure-reactivity relationships, functional groups, stereochemistry, reaction mechanisms and spectroscopy. Laboratory work concentrates on modern techniques of organic chemistry, inquiry-based projects, and spectroscopic analysis. One laboratory per week.",CHEM+233.59,1:40pm,David G Alberg,CHEM,6 credits,12:30pm,20
48,18WI,4.8,Science with Lab Component,Quantitative Reasoning,,,Organic+Chemistry+II+&+Lab,18,"The chemistry of functional groups is continued from Chemistry 233, and is extended to the multifunctional compounds found in nature, in particular carbohydrates and proteins. The laboratory focuses upon inquiry-based projects and spectroscopic analysis. One laboratory per week.",CHEM+234.52,11:00am,Matt Whited,CHEM,6 credits,9:50am,20
49,18WI,4.8,Science with Lab Component,Quantitative Reasoning,,,Organic+Chemistry+II+&+Lab,20,"The chemistry of functional groups is continued from Chemistry 233, and is extended to the multifunctional compounds found in nature, in particular carbohydrates and proteins. The laboratory focuses upon inquiry-based projects and spectroscopic analysis. One laboratory per week.",CHEM+234.57,11:00am,Matt Whited,CHEM,6 credits,9:50am,20
50,18WI,2.3,Quantitative Reasoning,,,,Quantum+Spectroscopy+Laboratory,8,"This lab course emphasizes spectroscopic studies relevant to quantum chemistry, including experiments utilizing UV-VIS, infrared absorption spectroscopy, and visible emission spectroscopy. Corequisite: Chemistry 344.",CHEM+302.01,4:20pm,"Will Hollingsworth, Trish Ferrett",CHEM,3 credits,3:10pm,8
51,18WI,2.3,Quantitative Reasoning,,,,Quantum+Spectroscopy+Laboratory,7,"This lab course emphasizes spectroscopic studies relevant to quantum chemistry, including experiments utilizing UV-VIS, infrared absorption spectroscopy, and visible emission spectroscopy. Corequisite: Chemistry 344.",CHEM+302.02,4:20pm,"Will Hollingsworth, Trish Ferrett",CHEM,3 credits,3:10pm,8
52,18WI,2.3,Quantitative Reasoning,,,,Quantum+Spectroscopy+Laboratory,8,"This lab course emphasizes spectroscopic studies relevant to quantum chemistry, including experiments utilizing UV-VIS, infrared absorption spectroscopy, and visible emission spectroscopy. Corequisite: Chemistry 344.",CHEM+302.03,4:20pm,"Trish Ferrett, Will Hollingsworth",CHEM,3 credits,3:10pm,8
53,18WI,2.3,Quantitative Reasoning,,,,Quantum+Spectroscopy+Laboratory,8,"This lab course emphasizes spectroscopic studies relevant to quantum chemistry, including experiments utilizing UV-VIS, infrared absorption spectroscopy, and visible emission spectroscopy. Corequisite: Chemistry 344.",CHEM+302.04,4:20pm,"Trish Ferrett, Will Hollingsworth",CHEM,3 credits,3:10pm,8
54,18WI,4.8,Quantitative Reasoning,,,,Chemistry+and+Biology+of+Antibiotics,10,"This course will survey the mechanisms of antibiotic activity from a biochemical perspective, covering the major classes of antibiotics along with their respective biological targets using a combination of lecture and discussion of recent literature. We will also explore strategies for antibiotic discovery including combinatorial and rational approaches, as well as the molecular origins of the current crisis in antibiotic resistance.",CHEM+324.00,12:20pm,Chris Calderone,CHEM,6 credits,11:10am,15
55,18WI,4.33,Quantitative Reasoning,,,,Instrumental+Chemical+Analysis,8,"This course covers the basic principles of quantitative instrumental chemical analysis. Course topics include chromatography, electroanalytical chemistry, analytical spectroscopy, and mass spectrometry. The background needed to understand the theory and application of these instrumental techniques will be covered. In addition, students will have the opportunity to explore current research in the field of analytical chemistry through the reading and presentation of articles from the primary literature.",CHEM+330.00,9:40am,Deborah S Gross,CHEM,6 credits,8:30am,8
56,18WI,4.33,Quantitative Reasoning,,,,Instrumental+Chemical+Analysis+Laboratory,8,"This laboratory provides students with experience in using instrumental methods for quantitative chemical analysis. Laboratory work consists of several assigned experiments that use instrumental techniques such as liquid and gas chromatography, UV spectrophotometry and fluorometry, mass spectrometry, and voltammetry. This laboratory concludes with an instrumental analysis project that is researched and designed by student groups.",CHEM+331.00,5:00pm,Deborah S Gross,CHEM,2 credits,1:00pm,8
57,18WI,4.5,Quantitative Reasoning,,,,Quantum+Chemistry,28,"This course introduces quantum mechanics with an emphasis on chemical and spectroscopic applications. The focus will be on atomic and molecular quantum behavior involving electrons, rotations, and vibrations. The objective is to develop both a deeper understanding of bonding as well as an appreciation of how spectroscopy provides insight into the microscopic world of molecules.",CHEM+344.00,1:40pm,Daniela L Kohen,CHEM,6 credits,12:30pm,30
58,18WI,,,,,,Integrative+Exercise,4,"Three alternatives exist for the department comprehensive exercise. Most students elect to join a discussion group that studies the research of a distinguished chemist or particular research problem in depth. Other students elect to write a long paper based on research in the primary literature, or write a paper expanding on their own research investigations. Most of the work for Chemistry 400 is expected to be accomplished during winter term. Students should enroll for five credits of Chemistry 400 during the winter, receive a ""CI"" at the end of that term, and then enroll for one credit during the spring, with the final evaluation and grade being awarded during spring term.",CHEM+400.01,n/a,Staff,CHEM,"1-5 credits, S/CR/NC only",n/a,10
59,18WI,4.5,,,,,Integrative+Exercise,8,"Three alternatives exist for the department comprehensive exercise. Most students elect to join a discussion group that studies the research of a distinguished chemist or particular research problem in depth. Other students elect to write a long paper based on research in the primary literature, or write a paper expanding on their own research investigations. Most of the work for Chemistry 400 is expected to be accomplished during winter term. Students should enroll for five credits of Chemistry 400 during the winter, receive a ""CI"" at the end of that term, and then enroll for one credit during the spring, with the final evaluation and grade being awarded during spring term.",CHEM+400.02,3:00pm,David G Alberg,CHEM,"5 credits, S/CR/NC only",1:50pm,10
60,18WI,4.33,,,,,Integrative+Exercise,9,"Three alternatives exist for the department comprehensive exercise. Most students elect to join a discussion group that studies the research of a distinguished chemist or particular research problem in depth. Other students elect to write a long paper based on research in the primary literature, or write a paper expanding on their own research investigations. Most of the work for Chemistry 400 is expected to be accomplished during winter term. Students should enroll for five credits of Chemistry 400 during the winter, receive a ""CI"" at the end of that term, and then enroll for one credit during the spring, with the final evaluation and grade being awarded during spring term.",CHEM+400.03,3:00pm,Deborah S Gross,CHEM,"5 credits, S/CR/NC only",1:50pm,10
61,18WI,4.8,,,,,Integrative+Exercise,10,"Three alternatives exist for the department comprehensive exercise. Most students elect to join a discussion group that studies the research of a distinguished chemist or particular research problem in depth. Other students elect to write a long paper based on research in the primary literature, or write a paper expanding on their own research investigations. Most of the work for Chemistry 400 is expected to be accomplished during winter term. Students should enroll for five credits of Chemistry 400 during the winter, receive a ""CI"" at the end of that term, and then enroll for one credit during the spring, with the final evaluation and grade being awarded during spring term.",CHEM+400.04,3:00pm,"Chris Calderone, Joe Chihade",CHEM,"5 credits, S/CR/NC only",1:50pm,10
62,18WI,2.3,,,,,Integrative+Exercise,4,"Three alternatives exist for the department comprehensive exercise. Most students elect to join a discussion group that studies the research of a distinguished chemist or particular research problem in depth. Other students elect to write a long paper based on research in the primary literature, or write a paper expanding on their own research investigations. Most of the work for Chemistry 400 is expected to be accomplished during winter term. Students should enroll for five credits of Chemistry 400 during the winter, receive a ""CI"" at the end of that term, and then enroll for one credit during the spring, with the final evaluation and grade being awarded during spring term.",CHEM+400.05,3:00pm,Will Hollingsworth,CHEM,"5 credits, S/CR/NC only",1:50pm,10
63,18WI,3,,,,,Elementary+Chinese,6,Continuation of Chinese 101.,CHIN+102.01,9:40am,"Mark  Hansell, Lei  Yang",CHIN,6 credits,8:30am,16
64,18WI,3,,,,,Elementary+Chinese,10,Continuation of Chinese 101.,CHIN+102.02,11:00am,"Mark  Hansell, Lei  Yang",CHIN,6 credits,9:50am,16
65,18WI,2,,,,,Intermediate+Chinese,15,Continuation of Chinese 204. Completion of this course with a C- or better fulfills the language requirement.,CHIN+205.01,12:20pm,Zheng  Wen,CHIN,6 credits,11:10am,16
66,18WI,2,,,,,Intermediate+Chinese,15,Continuation of Chinese 204. Completion of this course with a C- or better fulfills the language requirement.,CHIN+205.02,1:40pm,Zheng  Wen,CHIN,6 credits,12:30pm,16
67,18WI,3,Literary/Artistic Analysis,,,,Advanced+Chinese:+Readings+in+Twentieth+Century+Literature,13,"Students will read, discuss, and write about major literary works from twentieth century China in order to both improve their language abilities and increase their understanding of the artistic and intellectual milieu in which the works were produced. Readings will include selections from modern and contemporary Chinese literature, including poetry, fiction, novels, and letters in the original Chinese. ",CHIN+361.00,12:20pm,Lei  Yang,CHIN,6 credits,11:10am,15
